wen30-o2-p0.15-size200,mean,std,abs_mean,abs_std,comparison_accuracy
wen30-o2-p0.15-size200,mean,std,abs_mean,abs_std,comparison_accuracy
wen30-o2-p0.15-size200,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,-0.0007595549354115568,0.046057971039868105,0.03500211749786639,0.030188930939537298,0.9528659999999998
wen30-o2-p0.15-size300,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.0007891735849163545,0.042645293001351045,0.03181815170634059,0.02872875090044374,0.957802
wen30-o2-p0.15-size400,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.0012610259280264797,0.0411511731372015,0.029924752048094447,0.028290149065513633,0.9581259999999999
wen30-o2-p0.15-size500,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.0019262581952401506,0.039026883556003145,0.028634880453570214,0.026646154816141777,0.9605799999999997
wen30-o2-p0.15-size600,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.0011365207500374241,0.03760859576855738,0.027535963436915313,0.025536913495249728,0.9611599999999999
wen30-o2-p0.15-size700,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.001035860185700707,0.03657800868672183,0.02680283358899366,0.02489140262009444,0.9629499999999998
wen30-o2-p0.15-size800,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.0017973785928221452,0.03672197243892996,0.026402038487630276,0.025464216935470095,0.9626639999999999
wen30-o2-p0.15-size900,mean,std,abs_mean,abs_std,comparison_accuracy
MEAN,0.0010102458001627018,0.03713908128944848,0.026148755108522558,0.026161975338529608,0.9629739999999998
